Ahyeon | BABYMONSTER {17}
Aisha | EVERGLOW {24}
Aran | FIFTY FIFTY {20}
Arin | OH MY GIRL {25}
Asa | BABYMONSTER {18}
Athena | FIFTY FIFTY {17}
BIBI | Soloists {26}
BOL4 | Soloists {29}
Bae | NMIXX {20}
Bahiyyih | Kep1er {20}
Belle | KISS OF LIFE {20}
Chaehyun | Kep1er {22}
Chaejeong | ALICE {25}
Chaeryeong | ITZY {23}
Chaewon | IZONE {24}
Chaewon | LE SSERAFIM {24}
Chaewon | tripleS {17}
Chaeyeon | IZONE {25}
Chaeyeon | tripleS {20}
Chaeyoung | TWICE {25}
Chaeyoung | fromis_9 {24}
Chiquita | BABYMONSTER {16}
Choerry | LOONA {23}
Chuu | LOONA {25}
Dahyun | TWICE {26}
Dahyun | tripleS {22}
Dami | Dreamcatcher {27}
Danielle | NJZ {19}
Dayeon | Kep1er {21}
DoA | ALICE {26}
E:U | EVERGLOW {26}
EJ | ALICE {27}
Elisia | UNIS {15}
Eunbi | IZONE {29}
Eunchae | LE SSERAFIM {18}
Eunha | GFRIEND {27}
Gaeul | IVE {22}
Gahyun | Dreamcatcher {26}
Garam | LE SSERAFIM {19}
Gehlee | UNIS {17}
Giselle | aespa {24}
GoWon | LOONA {24}
Gyuri | fromis_9 {27}
HaSeul | LOONA {27}
Haerin | NJZ {18}
Haerin | tripleS {14}
Haewon | NMIXX {21}
Hana | FIFTY FIFTY {18}
Handong | Dreamcatcher {28}
Haneul | KISS OF LIFE {19}
Hanni | NJZ {20}
Hayeon | tripleS {17}
Hayoung | fromis_9 {27}
HeeJin | LOONA {24}
Hikaru | Kep1er {20}
Hitomi | IZONE {23}
Hwasa | MAMAMOO {29}
HyeJu | LOONA {23}
Hyein | NJZ {16}
Hyeonju | UNIS {23}
Hyerin | tripleS {17}
Hyewon | IZONE {25}
Hyojung | OH MY GIRL {30}
HyunJin | LOONA {24}
IU | Soloists {31}
Irene | Red Velvet {33}
Iroha | ILLIT {17}
Isa | STAYC {23}
J | STAYC {20}
Jennie | BLACKPINK {29}
Jeongyeon | TWICE {28}
JiU | Dreamcatcher {30}
Jiheon | fromis_9 {21}
Jiho | OH MY GIRL {27}
Jihyo | TWICE {28}
JinE | OH MY GIRL {30}
JinSoul | LOONA {27}
Jinni | NMIXX {20}
Jisoo | BLACKPINK {30}
Jisun | fromis_9 {26}
Jiwon | fromis_9 {26}
Jiwoo | NMIXX {19}
Jiwoo | tripleS {19}
JooBin | tripleS {16}
Joy | Red Velvet {28}
Julie | KISS OF LIFE {24}
Junseo | tripleS {22}
Kaede | tripleS {19}
Karin | ALICE {23}
Karina | aespa {24}
Kazuha | LE SSERAFIM {21}
Keena | FIFTY FIFTY {22}
Kim Sejeong | Soloists {28}
KimLip | LOONA {26}
Kotoko | UNIS {17}
Kotone | tripleS {20}
Kyujin | NMIXX {18}
Leeseo | IVE {17}
Lia | ITZY {24}
Lily | NMIXX {22}
Lisa | BLACKPINK {27}
